TamanoCadena;T promedio mejor caso(ms);T promedio caso promedio(ms);T promedio peor caso(ms)
100;0,000425;0,000465;0,000992
200;0,001269;0,000859;0,002452
400;0,002614;0,001826;0,005365
800;0,008312;0,003622;0,016763
1600;0,007035;0,00772;0,022745
3200;0,014677;0,01427;0,046006
6400;0,028084;0,028563;0,091642
12800;0,05665;0,05693;0,186409
25600;0,113345;0,113558;0,368669
51200;0,22805;0,249108;0,736493
102400;0,465328;0,459178;1,52465
204800;0,964401;0,916798;2,97376
409600;1,82908;1,8572;6,09636
819200;3,67098;3,64514;11,9
1638400;7,37297;7,32815;24,0731
3276800;15,0119;14,7111;49,8842
